iter	Passed	Remaining
0	0	343
1	0	282
2	0	254
3	1	250
4	1	247
5	1	250
6	1	227
7	1	223
8	1	216
9	2	209
10	2	206
11	2	203
12	2	198
13	2	195
14	2	194
15	3	196
16	3	199
17	3	196
18	3	195
19	4	197
20	4	195
21	4	192
22	4	192
23	4	194
24	5	200
25	5	202
26	5	201
27	5	201
28	5	197
29	6	197
30	6	194
31	6	194
32	6	195
33	6	193
34	6	192
35	7	192
36	7	192
37	7	190
38	7	189
39	7	188
40	8	187
41	8	187
42	8	187
43	8	187
44	8	186
45	8	184
46	9	184
47	9	183
48	9	184
49	9	185
50	9	185
51	10	184
52	10	183
53	10	182
54	10	186
55	11	188
56	11	188
57	11	187
58	11	188
59	11	187
60	12	188
61	12	188
62	12	188
63	12	188
64	13	189
65	13	189
66	13	189
67	13	188
68	13	187
69	14	187
70	14	187
71	14	187
72	14	187
73	14	185
74	14	184
75	15	184
76	15	183
77	15	182
78	15	181
79	15	181
80	15	180
81	16	180
82	16	181
83	16	182
84	16	182
85	17	183
86	17	182
87	17	182
88	17	181
89	17	181
90	18	181
91	18	181
92	18	179
93	18	179
94	18	178
95	18	177
96	19	177
97	19	178
98	19	177
99	19	178
100	19	176
101	20	176
102	20	176
103	20	176
104	20	176
105	20	175
106	21	175
107	21	175
108	21	175
109	21	174
110	21	174
111	21	174
112	22	173
113	22	173
114	22	173
115	22	173
116	22	173
117	23	173
118	23	173
119	23	173
120	23	173
121	24	173
122	24	172
123	24	173
124	24	174
125	25	173
126	25	174
127	25	175
128	26	175
129	26	175
130	26	174
131	26	174
132	26	173
133	26	173
134	27	173
135	27	173
136	27	173
137	27	173
138	28	173
139	28	173
140	28	173
141	28	172
142	28	172
143	28	171
144	28	170
145	29	170
146	29	170
147	29	170
148	29	169
149	29	169
150	30	169
151	30	169
152	30	169
153	30	168
154	31	169
155	31	168
156	31	168
157	31	167
158	31	166
159	31	166
160	31	165
161	31	165
162	32	165
163	32	165
164	32	164
165	32	164
166	32	164
167	33	164
168	33	164
169	33	164
170	33	164
171	34	164
172	34	164
173	34	163
174	34	163
175	34	163
176	35	162
177	35	162
178	35	162
179	35	162
180	35	162
181	36	163
182	36	163
183	36	162
184	36	162
185	37	162
186	37	161
187	37	161
188	37	161
189	38	162
190	38	162
191	38	162
192	38	162
193	39	162
194	39	161
195	39	161
196	39	161
197	39	161
198	40	161
199	40	161
200	40	161
201	40	161
202	41	161
203	41	160
204	41	160
205	41	160
206	41	160
207	42	160
208	42	160
209	42	160
210	42	159
211	43	159
212	43	159
213	43	159
214	43	159
215	43	159
216	44	158
217	44	158
218	44	158
219	44	158
220	44	157
221	44	157
222	45	157
223	45	157
224	45	157
225	45	157
226	46	156
227	46	156
228	46	156
229	46	156
230	46	156
231	47	155
232	47	155
233	47	155
234	47	155
235	47	154
236	47	154
237	48	153
238	48	153
239	48	153
240	48	153
241	48	153
242	49	152
243	49	152
244	49	152
245	49	151
246	49	151
247	49	151
248	50	151
249	50	151
250	50	150
251	50	150
252	50	150
253	51	150
254	51	150
255	51	149
256	51	149
257	51	149
258	52	149
259	52	149
260	52	148
261	52	148
262	53	148
263	53	148
264	53	148
265	53	148
266	53	147
267	54	147
268	54	147
269	54	147
270	54	147
271	55	147
272	55	147
273	55	147
274	55	146
275	55	146
276	56	146
277	56	146
278	56	146
279	56	145
280	57	145
281	57	145
282	57	145
283	57	145
284	57	145
285	58	145
286	58	144
287	58	144
288	58	144
289	58	144
290	59	143
291	59	143
292	59	143
293	59	143
294	60	143
295	60	143
296	60	143
297	60	143
298	60	142
299	61	142
300	61	142
301	61	141
302	61	141
303	61	141
304	62	141
305	62	141
306	62	141
307	62	140
308	62	140
309	63	140
310	63	140
311	63	140
312	63	139
313	63	139
314	64	139
315	64	139
316	64	139
317	64	138
318	64	138
319	65	138
320	65	137
321	65	137
322	65	137
323	65	137
324	65	136
325	66	136
326	66	136
327	66	136
328	66	136
329	67	136
330	67	136
331	67	135
332	67	135
333	67	135
334	68	135
335	68	134
336	68	134
337	68	134
338	68	134
339	68	133
340	69	133
341	69	133
342	69	133
343	70	133
344	70	133
345	70	133
346	70	132
347	70	132
348	70	132
349	71	132
350	71	132
351	71	131
352	71	131
353	71	131
354	72	131
355	72	131
356	72	130
357	72	130
358	73	130
359	73	130
360	73	130
361	73	129
362	73	129
363	73	129
364	74	128
365	74	128
366	74	128
367	74	128
368	75	128
369	75	128
370	75	127
371	75	127
372	75	127
373	75	127
374	76	126
375	76	126
376	76	126
377	76	126
378	76	125
379	76	125
380	77	125
381	77	124
382	77	124
383	77	124
384	77	124
385	77	123
386	77	123
387	78	123
388	78	122
389	78	122
390	78	122
391	78	122
392	78	122
393	79	121
394	79	121
395	79	121
396	79	121
397	79	120
398	80	120
399	80	120
400	80	120
401	80	120
402	80	119
403	81	119
404	81	119
405	81	119
406	81	119
407	81	118
408	82	118
409	82	118
410	82	118
411	82	118
412	82	117
413	83	117
414	83	117
415	83	117
416	83	117
417	84	117
418	84	117
419	84	116
420	84	116
421	85	116
422	85	116
423	85	116
424	85	115
425	85	115
426	86	115
427	86	115
428	86	115
429	86	115
430	87	114
431	87	114
432	87	114
433	87	114
434	87	114
435	88	113
436	88	113
437	88	113
438	88	113
439	88	112
440	88	112
441	89	112
442	89	112
443	89	112
444	89	111
445	89	111
446	90	111
447	90	111
448	90	110
449	90	110
450	90	110
451	90	110
452	91	110
453	91	109
454	91	109
455	91	109
456	91	109
457	91	108
458	92	108
459	92	108
460	92	108
461	92	107
462	92	107
463	93	107
464	93	107
465	93	107
466	93	106
467	93	106
468	93	106
469	94	106
470	94	106
471	94	106
472	94	105
473	95	105
474	95	105
475	95	105
476	95	105
477	96	104
478	96	104
479	96	104
480	96	104
481	96	104
482	97	104
483	97	103
484	97	103
485	97	103
486	98	103
487	98	103
488	98	102
489	98	102
490	98	102
491	99	102
492	99	102
493	99	102
494	100	102
495	100	102
496	100	101
497	100	101
498	101	101
499	101	101
500	101	100
501	101	100
502	101	100
503	101	100
504	102	99
505	102	99
506	102	99
507	102	99
508	102	99
509	103	99
510	103	98
511	103	98
512	103	98
513	103	98
514	103	97
515	104	97
516	104	97
517	104	97
518	104	97
519	105	96
520	105	96
521	105	96
522	105	96
523	105	96
524	106	95
525	106	95
526	106	95
527	106	95
528	107	95
529	107	95
530	107	94
531	107	94
532	108	94
533	108	94
534	108	94
535	108	94
536	108	93
537	109	93
538	109	93
539	109	93
540	109	92
541	109	92
542	110	92
543	110	92
544	110	92
545	110	91
546	110	91
547	110	91
548	111	91
549	111	91
550	111	90
551	111	90
552	111	90
553	112	90
554	112	90
555	112	89
556	112	89
557	113	89
558	113	89
559	113	89
560	113	89
561	114	88
562	114	88
563	114	88
564	114	88
565	114	88
566	114	87
567	115	87
568	115	87
569	115	87
570	115	87
571	116	86
572	116	86
573	116	86
574	116	86
575	116	86
576	117	85
577	117	85
578	117	85
579	117	85
580	117	84
581	118	84
582	118	84
583	118	84
584	118	84
585	118	84
586	119	83
587	119	83
588	119	83
589	119	83
590	120	83
591	120	82
592	120	82
593	120	82
594	120	82
595	121	82
